Sentence,Sentiment
"Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options .",neutral
The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,neutral
The investment will be worth approximately EUR 100mn .,neutral
The company is presently examining whether the project would be financially feasible .,neutral
Also Lemmink+ñinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,positive
"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October .",neutral
The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations .,neutral
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,negative
"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",neutral
The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,neutral
$NFLX I say it's time to short at this point.,negative
"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",positive
Aviva shuts Friends Life head office in rapid integration move,neutral
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,neutral
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",neutral
"The Division also includes joint sales , marketing and controlling functions for these units .",neutral
"Outotec 's delivery covers the engineering , supply and construction of a circulating fluid bed calcination plant with a capacity of 1,600 tons of alumina per day .",neutral
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",neutral
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",negative
The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,negative
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative
The GyPSii mobile social networking application is available in China with both Chinese and English language support .,neutral
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress .,neutral
X marks the recall: Tesla recalls #ModelX for faulty 3rd row seat. https://t.co/HSqdoVry07 $TSLA https://t.co/4Cs3CNZEBB,negative
A 2001 agreement expired earlier this month .,neutral
loading $SPY and $AAPL puts. think were toppy IMHO.,negative
"So far , Mr. Galvan he has been able to avoid laying off workers .",positive
The measures result from the statutory joint negotiations with employees which started in February and concerned all operations in the country .,neutral
"When the negotiations were started , Neste Oil anticipated that 450 people would be affected .",neutral
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",neutral
"$AAPL double bottom could be in, keep in mind",positive
"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",neutral
Orion Pharma 's operating profit increased by 42.5 % from 2004 .,positive
"The changes will take effect on 1 January 2010 , and they are not estimated to have an impact on the number of employees .",neutral
"The recruitment is related to the relocation of Stora Enso 's research operations to Karlstad , central Sweden .",neutral
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,neutral
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",neutral
"This new representation extends Comptel 's global presence to a total of 18 countries , serving over 250 customers in over 80 countries worldwide .",positive
"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 .",neutral
"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",positive
The deliveries are scheduled for the summer and autumn of 2008 .,neutral
"Lule+Ñ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",positive
GSK and Novartis complete deals to reshape both drugmakers,positive
It is expected to be online by 2011 .,neutral
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,positive
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,neutral
Passengers rise at EasyJet and Aer Lingus,positive
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,positive
Central Europe is an important market area for Honka .,neutral
A total of $ 78 million will be invested in the project .,neutral
"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group .",neutral
"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY",negative
"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",neutral
British American Tobacco drops and sues PwC over pollution scandal,negative
"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 .",neutral
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive
The facility consists of a seven year bullet term loan of 200 mln euro $ 292.4 mln and a 150 mln euro $ 219.3 mln five year revolving credit facility .,neutral
"`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .",positive
Closing of such transaction took place today .,neutral
"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",negative
"The Annual Report will be sent automatically to shareholders holding at least 2,000 Sampo plc shares .",neutral
UPM-Kymmene is one of the world 's leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies .,positive
"` The stable outlook reflects Nokia 's strong market position in the global mobile handset market , strong cash flow generation , and very conservative balance sheet , ' said Raab .",positive
"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL .",positive
$HITK  Resuming advance into new historical highs.,positive
`` NTC has a geographical presence that complements Ramirent 's existing network and brings us closer to our customers in the East Bohemia region in the CzechRepublic . '',positive
"Metso is a global supplier of sustainable technology and services for mining , construction , power generation , automation , recycling and the pulp and paper industries .",neutral
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",neutral
"New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions .",neutral
Viking Line manages well with its current ferries .,positive
"When dialing in , the participants should quote 877417 as conference ID .",neutral
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,neutral
Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .,positive
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,negative
`` We have the most expensive water brand in Finland at the moment . '',neutral
"France T+®l+®com spent more time studying TeliaSonera than other potential takeover targets because it has a shareholder that wants to sell , Pellissier said .",neutral
"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",positive
Salonen added that data shows producers ' pulp inventories in North America are declining . ',negative
`` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops .,neutral
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,negative
$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,positive
"According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .",positive
Seat belt recall? who cares....  I'm a buyer $TSLA,positive
Randgold profit hit by poor gold price but dividend still increases,neutral
"( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 .",neutral
Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision .,neutral
$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,negative
EuroChem Head of Corporate Finance Alexander Gavrilov said : `` I am pleased that we have once again confirmed that EuroChem is able to attract long-term funds at attractive rates .,positive
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",negative
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,positive
CompaniesDixons Carphone to close 134 UK stores as sales jump,positive
"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region .",neutral
The measures result from decreased demand in technical design and product information .,negative
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",negative
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",neutral
$SPY bull move ended waiting for next setup,negative
Analysts impressed with progress at Tesla's flagship factory; co spent $1.6B on upgrades in '15 https://t.co/SABxCSn8cd by @tsrandall $TSLA,positive
$ISRG Break out confirmed. Bought Leaps. Good trading!,positive
"The highest growth would be in China , while weakening demand would continue in North America , UPM said .",neutral
"from BUSINESS LINE , May 16 , 2008 Sriperumbudur , May 15 - Nokia 's two key suppliers - Aspocomp and Wintek - are likely to start operations within three months in the Nokia Telecom Park at Sriperumbudur , 45 km west off Chennai .",neutral
I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,negative
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,neutral
"The ship cranes , which will be manufactured by MacGREGOR 's partner plants in China , will be delivered between 2008-2010 for vessels ordered by Chinese COSCO , German Peter Dohle and Hong Kong based Cido Shipping .",neutral
Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,positive
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,positive
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .,neutral
It is a disappointment to see the plan folded .,neutral
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",neutral
Operating profit rose to 22.1 mln eur from 19.9 mln .,positive
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",negative
"The segment has an annual revenue of approximately EUR400m , the company said .",neutral
"We are very pleased with the fine co-operation between the two countries in recent times , he said .",positive
"Cramo , headquartered in Vantaa , Finland , rents construction machinery and equipment , as well as rents and sells modular space .",neutral
"We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla .",positive
"On 20 March 2006 , Stora Enso refused to comment the news in any way .",neutral
Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,positive
$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,positive
"Previously , the company anticipated its operating profit to improve over the same period .",positive
SWOT analysis is just one method of categorization and has its own weaknesses .,neutral
Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May .,positive
"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .",neutral
The group 's 12-month operating profit grew 31 percent to 337.8 million euros .,positive
- Counter your competitor 's strengths and target their weaknesses .,neutral
Return on capital employed ROCE was a negative 2.3 % compared to 11.3 % in 2007 .,negative
"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",positive
Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,neutral
"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",positive
$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,positive
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",negative
"NORDIC BUSINESS REPORT-17 January 2006-Efore Plc inaugurates new plant in Estonia -® 1998-2006 M2 COMMUNICATIONS LTD Finnish power electronics manufacturer Efore Plc said on Tuesday ( 17 January ) that it was inaugurating its new plant in Parnu , Estonia .",neutral
"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral
Reed Elsevier share price slides on underwhelming full-year results,negative
"Technopolis has set aside a plot of land measuring 4.6 hectares to build the park , Mikkonen said .",neutral
GyPSii service supports ten different languages including Korean and Russian .,neutral
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,positive
The company does not at present hold any of its own shares .,neutral
The estimated value of the deal is USD 9.2 million .,neutral
"In future , the plant will focus on the production of flange profiles for wind farm towers .",neutral
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",negative
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive
4 February 2011 - Finnish privacy and security software developer Tectia Oyj ( HEL : TEC1V ) said Wednesday it has set up two strategic business units - managed security and mobile authentication .,neutral
"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector .",neutral
$tsla bad day to short,positive
"Nokia controls more than 50 percent of phone sales in India and Africa , and has a strong prosition on most other emerging markets .",positive
$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,positive
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,neutral
30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,neutral
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",neutral
The financial details of the transaction were not disclosed .,neutral
"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",positive
$NUGT Gold above 1400...wow,positive
Diageo sales disappoint as currency and comparatives leave bitter taste,negative
Finnish M-real 's Kyro mill is starting negotiations to cut staff .,neutral
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,negative
Shares in BAE Systems hit 10-month high on rating upgrade,positive
"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said .",neutral
The transaction is expected to be finalized by Dec 2009 .,neutral
$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,positive
The board further said the company omitted to tender for a substantial part of the works and as such they had rightfully been found non-responsive by the evaluation team .,neutral
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive
"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",neutral
Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,positive
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",positive
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",negative
Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .,neutral
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",negative
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",negative
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .",neutral
"In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",neutral
"Cargotec 's share capital after the increase totals EUR 64,299,180 .",neutral
Sophos aims to raise $100m in London IPO,positive
"`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said .",positive
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",neutral
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive
"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",neutral
"Tyrvaan Sanomat , published twice a week by Tyrvaan Sanomat Oy , appears in Sastamala and Kiikoinen .",neutral
"Cargotec Corporation , Press Release , April 28 , 2008 at 2.00 p.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant hatch cover orders for bulk carriers .",positive
Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .,neutral
Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .,neutral
The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .,neutral
"The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .",positive
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .",negative
Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,neutral
"PCS Digital Guatemala has been using Tecnomen 's prepaid system in Telgua fixed networks as well as code division multiple access , or CDMA , and global system for mobile communication , or GSM , since 2003 .",neutral
"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .",neutral
"`` The number of collection errors fell considerably , and operations speeded up .",positive
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,neutral
"Broker tips: RBS, Croda, Sage",positive
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",positive
"The reductions will be implemented immediately , beginning in October 2009 .",neutral
$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,positive
"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .",negative
The contract includes heating plant equipment and associated installation work .,neutral
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,positive
"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",negative
"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",positive
The total investment in 2006 and 2007 is expected to amount to about EUR75m .,neutral
Mursula said they tried to gather macro-economic perspective to see how Malaysia was doing .,neutral
The presentation material can be viewed on the company 's website in English after the conference .,neutral
"Finnish Metso Paper has won an order to supply an uncoated fine paper machine to MCC Paper Yinhe , in China .",positive
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",neutral
"Galeria Podlaska , a shopping mall on Wysockiego Street in Bia ` ystok , is approximately 60-percent leased or reserved .",neutral
The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .,neutral
"Intuitive Surgical $ISRG is in a great financial position, take a look https://t.co/VahhJAcBFG https://t.co/24hQTQX4ou",positive
Dragonfly Love is another video shot from start to finish using the Nokia N8 .,neutral
"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .",neutral
25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,neutral
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,positive
Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia .,neutral
$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,positive
"Quartal Oy now owns 2,094,063 shares in Satama Interactive Plc , which represents 5,19 per cent of the share capital and voting rights .",neutral
Demand was brisk as expected and order levels have remained high .,positive
"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today .",negative
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,neutral
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",negative
Barclays poised to replace Sir Mike Rake as he heads for exit,neutral
Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,negative
Barclays appoints JPMorgan's Paul Compton as new COO,neutral
"$AAPL bounces off support, it seems",positive
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .,neutral
The Estonian parliament was set to vote on amendments to the excise duty law on Wednesday that would add 0.42 kroons to the price of a liter of diesel and 0.45 kroons to the price of a liter of gasoline from the start of 2010 .,neutral
Elcoteq has a proven track record in electronics manufacturing services ( EMS ) and a global factory network coupled with modern manufacturing equipment and consistent systems and processes .,positive
$MTD (Mettler-Toledo) ready for a breakout,positive
"HSBC shakes up board with two new business chiefs, three departures",neutral
"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",neutral
"One can also apply for jobs directly from the iPad , select which CV to attach and which covering letter is most appropriate for each position .",neutral
"In this way , the industry 's starting point has been the consumers ' needs .",neutral
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",neutral
"In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m .",neutral
"Published by Globes online , Israel business news - www.globes-online.com - on November 16 , 2009 -® Copyright of Globes Publisher Itonut 1983 Ltd. 2009",neutral
The EUR17m contract includes both design and construction works .,neutral
$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,negative
Delhaize Le Lion has selected the Aldata G.O.L.D. Vocal PDA solution on the Motorola WT4090 PDA terminal .,neutral
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",neutral
"According to the company , its operating profit , excluding non-recurring items , in the fourth quarter of 2009 was significantly better than expected , and also better than the figures for the fourth quarter of 2008 .",positive
"These new units will be built at Cargotec 's state of the art manufacturing facility in San Antonio , Texas , USA , which started operations in 2009 .",neutral
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",neutral
"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .",positive
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive
"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",positive
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',negative
"This will be done domestically and in neighboring markets , both organically and through acquisitions .",neutral
"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",positive
"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .",neutral
"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""",positive
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,neutral
"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November .",negative
"Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing a project in St Petersburg , comprising about a million square meters of residential space , two hospitals and several schools and nurseries .",neutral
They are also upset that some of the machinery and work is taken over to Poland .,negative
Approval by shareholders of Cencorp in accordance with Finnish law .,neutral
"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam .",positive
$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,positive
$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here,negative
Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America .,positive
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive
"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",neutral
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",positive
"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .",neutral
"$YOKU high volume blast off Friday, goes higher  http://stks.co/qSaL",positive
"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .",neutral
"Chic and cheerful , Finnish design house Marimekko has been sending its geometric textiles out into the world for the past 60 years .",neutral
"The recovery of demand that started toward the end of 2009 , continued in January-March 2010 .",positive
Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .,neutral
"GUANGDONG , October 26 , SinoCast -- Nokia Telecommunications Dongguan branch entered into a letter of intent to open a Nokia Class in Qingyuan Polytechnic , Qingyuan City of Guangdong Province .",neutral
"The company can not give up palm oil altogether , however .",neutral
"In 2007 , the Group 's net sales stood at EUR 22 million and it had about 150 employees at the end of June , 2008 .",neutral
`` Marimekko operates in an industry in which changes in the business climate are reflected in consumer demand .,neutral
U.S. Debt Lures Schroders as ECB Depresses Rates,neutral
"Outotec is currently delivering a new oil shale processing plant for Eesti Energia in Estonia based on Enefit technology , which has been developed jointly by Eesti Energia and Outotec .",neutral
The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,positive
The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki .,neutral
"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor",positive
"$AMZN rejected that 604 to the penny. Weak open and it goes r/g within first 30 mins, could have 8-10 points in it. https://t.co/58tEAEXxpE",negative
This $BBBY stock options trade would have more than doubled your money https://t.co/Oa0loiRIJL via @TheStreet,positive
"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",negative
#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,positive
Operating profit of the Asian plants grew markedly .,positive
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",negative
"Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 .",negative
The Oulu plant employs approximately 120 people .,neutral
at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 .,neutral
"SCOPI Chief Business Excellence Officer , Eng .",neutral
"The share capital of Basware Corporation is 11,720,829 .",neutral
New Morrisons duo get former boss's support to diffuse investor tension,positive
The order also includes start-up and commissioning services .,neutral
"`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .",positive
Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,positive
Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. .,neutral
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral
This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,neutral
"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",neutral
"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland .",positive
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",neutral
The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .,positive
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",neutral
"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .",positive
